Header Size:	8
Name:	STANDARDIZED 
Date:	Wed Mar 04 12:31:20 2015
Coordinate System:	Global Coordinate System
Character Dimensions:	3	6
TCP Rotation Matrix:	0	0	-1	0	1	0	1	0	0
Column Fields:	CartesianPosition
Column Element Size:	3
Entries:	865
-0.002759	0.001950	0.006179
-0.002763	0.001986	0.006177
-0.002767	0.002022	0.006176
-0.002770	0.002056	0.006175
-0.002774	0.002091	0.006174
-0.002777	0.002124	0.006174
-0.002781	0.002159	0.006173
-0.002784	0.002192	0.006172
-0.002787	0.002225	0.006170
-0.002791	0.002259	0.006169
-0.002794	0.002291	0.006169
-0.002797	0.002324	0.006166
-0.002800	0.002354	0.006166
-0.002804	0.002385	0.006165
-0.002806	0.002415	0.006163
-0.002809	0.002447	0.006162
-0.002812	0.002478	0.006162
-0.002815	0.002510	0.006161
-0.002818	0.002540	0.006160
-0.002821	0.002570	0.006159
-0.002823	0.002601	0.006157
-0.002826	0.002631	0.006156
-0.002828	0.002665	0.006155
-0.002831	0.002695	0.006153
-0.002833	0.002726	0.006152
-0.002836	0.002753	0.006151
-0.002838	0.002782	0.006150
-0.002841	0.002813	0.006149
-0.002843	0.002841	0.006148
-0.002844	0.002869	0.006146
-0.002847	0.002894	0.006146
-0.002849	0.002919	0.006145
-0.002851	0.002947	0.006144
-0.002853	0.002974	0.006142
-0.002855	0.003000	0.006142
-0.002858	0.003026	0.006142
-0.002860	0.003051	0.006141
-0.002863	0.003077	0.006141
-0.002866	0.003104	0.006141
-0.002868	0.003130	0.006140
-0.002870	0.003153	0.006138
-0.002873	0.003177	0.006139
-0.002876	0.003203	0.006138
-0.002878	0.003229	0.006137
-0.002880	0.003251	0.006136
-0.002882	0.003273	0.006136
-0.002884	0.003296	0.006135
-0.002886	0.003319	0.006134
-0.002888	0.003340	0.006134
-0.002890	0.003361	0.006133
-0.002891	0.003383	0.006133
-0.002892	0.003404	0.006130
-0.002893	0.003424	0.006129
-0.002893	0.003444	0.006127
-0.002895	0.003465	0.006126
-0.002894	0.003484	0.006124
-0.002895	0.003502	0.006123
-0.002894	0.003522	0.006120
-0.002894	0.003542	0.006118
-0.002893	0.003562	0.006116
-0.002893	0.003579	0.006113
-0.002891	0.003598	0.006110
-0.002891	0.003618	0.006108
-0.002889	0.003636	0.006104
-0.002888	0.003655	0.006102
-0.002886	0.003675	0.006098
-0.002883	0.003693	0.006094
-0.002880	0.003709	0.006090
-0.002878	0.003727	0.006086
-0.002876	0.003748	0.006082
-0.002873	0.003764	0.006078
-0.002869	0.003780	0.006073
-0.002866	0.003799	0.006068
-0.002862	0.003816	0.006063
-0.002857	0.003833	0.006058
-0.002852	0.003850	0.006051
-0.002848	0.003869	0.006045
-0.002842	0.003886	0.006038
-0.002835	0.003902	0.006031
-0.002829	0.003920	0.006024
-0.002822	0.003939	0.006016
-0.002815	0.003956	0.006009
-0.002807	0.003973	0.005999
-0.002798	0.003990	0.005989
-0.002790	0.004006	0.005981
-0.002781	0.004021	0.005971
-0.002770	0.004034	0.005961
-0.002761	0.004051	0.005951
-0.002752	0.004066	0.005942
-0.002740	0.004081	0.005930
-0.002729	0.004095	0.005920
-0.002717	0.004108	0.005908
-0.002706	0.004123	0.005896
-0.002694	0.004136	0.005885
-0.002681	0.004148	0.005872
-0.002669	0.004161	0.005861
-0.002656	0.004173	0.005849
-0.002643	0.004186	0.005836
-0.002630	0.004198	0.005824
-0.002617	0.004210	0.005811
-0.002604	0.004219	0.005799
-0.002591	0.004230	0.005787
-0.002578	0.004242	0.005774
-0.002565	0.004254	0.005762
-0.002551	0.004265	0.005748
-0.002536	0.004274	0.005735
-0.002520	0.004283	0.005720
-0.002505	0.004292	0.005706
-0.002491	0.004301	0.005693
-0.002476	0.004311	0.005678
-0.002462	0.004321	0.005666
-0.002446	0.004330	0.005651
-0.002430	0.004338	0.005636
-0.002414	0.004347	0.005621
-0.002397	0.004356	0.005605
-0.002378	0.004364	0.005587
-0.002361	0.004371	0.005571
-0.002342	0.004378	0.005555
-0.002325	0.004385	0.005539
-0.002307	0.004393	0.005522
-0.002290	0.004398	0.005507
-0.002271	0.004404	0.005491
-0.002253	0.004411	0.005474
-0.002235	0.004417	0.005458
-0.002218	0.004423	0.005442
-0.002199	0.004430	0.005426
-0.002181	0.004436	0.005409
-0.002162	0.004442	0.005392
-0.002145	0.004448	0.005376
-0.002127	0.004453	0.005360
-0.002110	0.004459	0.005345
-0.002094	0.004464	0.005331
-0.002077	0.004469	0.005317
-0.002061	0.004474	0.005302
-0.002045	0.004478	0.005287
-0.002028	0.004484	0.005272
-0.002013	0.004489	0.005259
-0.001997	0.004494	0.005244
-0.001982	0.004500	0.005231
-0.001966	0.004505	0.005216
-0.001950	0.004510	0.005203
-0.001935	0.004515	0.005189
-0.001919	0.004520	0.005174
-0.001903	0.004525	0.005160
-0.001887	0.004530	0.005146
-0.001872	0.004535	0.005132
-0.001856	0.004540	0.005118
-0.001841	0.004545	0.005104
-0.001824	0.004549	0.005089
-0.001809	0.004554	0.005075
-0.001792	0.004557	0.005060
-0.001775	0.004561	0.005045
-0.001758	0.004564	0.005031
-0.001741	0.004567	0.005015
-0.001725	0.004570	0.005000
-0.001707	0.004572	0.004985
-0.001690	0.004575	0.004970
-0.001674	0.004577	0.004956
-0.001657	0.004579	0.004941
-0.001640	0.004581	0.004926
-0.001623	0.004583	0.004911
-0.001605	0.004584	0.004896
-0.001589	0.004586	0.004882
-0.001572	0.004587	0.004867
-0.001556	0.004588	0.004853
-0.001540	0.004589	0.004839
-0.001525	0.004590	0.004826
-0.001510	0.004592	0.004813
-0.001494	0.004593	0.004799
-0.001480	0.004593	0.004786
-0.001465	0.004594	0.004773
-0.001451	0.004595	0.004762
-0.001436	0.004596	0.004748
-0.001422	0.004597	0.004735
-0.001407	0.004598	0.004723
-0.001394	0.004599	0.004711
-0.001381	0.004600	0.004700
-0.001368	0.004601	0.004689
-0.001355	0.004602	0.004677
-0.001342	0.004603	0.004665
-0.001329	0.004604	0.004653
-0.001316	0.004606	0.004642
-0.001305	0.004607	0.004632
-0.001291	0.004609	0.004619
-0.001279	0.004611	0.004608
-0.001267	0.004613	0.004598
-0.001255	0.004615	0.004586
-0.001244	0.004616	0.004576
-0.001233	0.004619	0.004567
-0.001222	0.004622	0.004557
-0.001212	0.004626	0.004548
-0.001202	0.004628	0.004538
-0.001182	0.004635	0.004521
-0.001165	0.004641	0.004506
-0.001155	0.004644	0.004496
-0.001138	0.004650	0.004481
-0.001123	0.004656	0.004468
-0.001109	0.004663	0.004455
-0.001095	0.004669	0.004442
-0.001081	0.004676	0.004428
-0.001069	0.004684	0.004417
-0.001057	0.004693	0.004406
-0.001045	0.004705	0.004394
-0.001033	0.004716	0.004383
-0.001022	0.004731	0.004372
-0.001011	0.004746	0.004360
-0.001001	0.004762	0.004350
-0.000989	0.004777	0.004338
-0.000978	0.004795	0.004327
-0.000969	0.004814	0.004317
-0.000958	0.004831	0.004306
-0.000947	0.004850	0.004295
-0.000936	0.004869	0.004283
-0.000930	0.004880	0.004277
-0.000919	0.004899	0.004265
-0.000914	0.004910	0.004260
-0.000903	0.004931	0.004249
-0.000898	0.004942	0.004243
-0.000887	0.004962	0.004232
-0.000882	0.004973	0.004226
-0.000871	0.004993	0.004214
-0.000865	0.005005	0.004208
-0.000860	0.005017	0.004202
-0.000855	0.005028	0.004197
-0.000850	0.005039	0.004191
-0.000845	0.005050	0.004186
-0.000840	0.005063	0.004179
-0.000835	0.005076	0.004174
-0.000830	0.005088	0.004168
-0.000827	0.005100	0.004164
-0.000823	0.005112	0.004158
-0.000812	0.005135	0.004146
-0.000808	0.005149	0.004141
-0.000803	0.005160	0.004135
-0.000800	0.005172	0.004131
-0.000796	0.005184	0.004126
-0.000793	0.005197	0.004121
-0.000789	0.005212	0.004117
-0.000786	0.005224	0.004112
-0.000781	0.005236	0.004106
-0.000778	0.005249	0.004102
-0.000774	0.005262	0.004097
-0.000771	0.005277	0.004092
-0.000768	0.005289	0.004088
-0.000764	0.005301	0.004084
-0.000761	0.005314	0.004078
-0.000758	0.005328	0.004074
-0.000754	0.005342	0.004070
-0.000751	0.005354	0.004066
-0.000748	0.005366	0.004061
-0.000745	0.005379	0.004057
-0.000742	0.005394	0.004052
-0.000740	0.005409	0.004048
-0.000738	0.005422	0.004044
-0.000735	0.005435	0.004039
-0.000732	0.005450	0.004035
-0.000730	0.005464	0.004031
-0.000728	0.005479	0.004026
-0.000725	0.005492	0.004022
-0.000724	0.005506	0.004018
-0.000722	0.005520	0.004015
-0.000721	0.005534	0.004011
-0.000721	0.005546	0.004010
-0.000720	0.005559	0.004006
-0.000719	0.005572	0.004003
-0.000718	0.005586	0.004000
-0.000717	0.005599	0.003996
-0.000716	0.005611	0.003994
-0.000716	0.005623	0.003991
-0.000716	0.005636	0.003988
-0.000715	0.005648	0.003986
-0.000715	0.005661	0.003981
-0.000714	0.005672	0.003978
-0.000713	0.005683	0.003973
-0.000713	0.005694	0.003970
-0.000712	0.005707	0.003966
-0.000711	0.005720	0.003962
-0.000709	0.005739	0.003953
-0.000707	0.005751	0.003948
-0.000703	0.005772	0.003936
-0.000701	0.005783	0.003930
-0.000696	0.005802	0.003915
-0.000689	0.005823	0.003898
-0.000682	0.005843	0.003880
-0.000674	0.005861	0.003862
-0.000669	0.005870	0.003852
-0.000664	0.005879	0.003841
-0.000659	0.005889	0.003830
-0.000648	0.005906	0.003807
-0.000643	0.005914	0.003795
-0.000638	0.005923	0.003783
-0.000633	0.005930	0.003771
-0.000627	0.005937	0.003759
-0.000620	0.005945	0.003745
-0.000614	0.005952	0.003731
-0.000608	0.005958	0.003719
-0.000603	0.005964	0.003705
-0.000597	0.005970	0.003693
-0.000591	0.005976	0.003679
-0.000585	0.005981	0.003664
-0.000578	0.005986	0.003647
-0.000571	0.005991	0.003633
-0.000566	0.005995	0.003619
-0.000559	0.006000	0.003602
-0.000552	0.006003	0.003585
-0.000546	0.006007	0.003569
-0.000539	0.006011	0.003553
-0.000532	0.006013	0.003536
-0.000525	0.006016	0.003518
-0.000518	0.006019	0.003501
-0.000512	0.006021	0.003486
-0.000504	0.006023	0.003467
-0.000498	0.006025	0.003450
-0.000491	0.006026	0.003433
-0.000482	0.006027	0.003413
-0.000474	0.006029	0.003393
-0.000466	0.006030	0.003374
-0.000458	0.006030	0.003353
-0.000450	0.006032	0.003334
-0.000443	0.006033	0.003317
-0.000434	0.006033	0.003296
-0.000426	0.006034	0.003276
-0.000418	0.006034	0.003258
-0.000411	0.006034	0.003240
-0.000402	0.006035	0.003219
-0.000393	0.006035	0.003198
-0.000386	0.006035	0.003179
-0.000377	0.006036	0.003158
-0.000368	0.006036	0.003136
-0.000359	0.006037	0.003116
-0.000351	0.006037	0.003096
-0.000342	0.006038	0.003074
-0.000334	0.006037	0.003054
-0.000324	0.006037	0.003032
-0.000316	0.006038	0.003011
-0.000307	0.006038	0.002991
-0.000299	0.006039	0.002971
-0.000290	0.006040	0.002950
-0.000282	0.006040	0.002930
-0.000273	0.006041	0.002908
-0.000265	0.006041	0.002889
-0.000258	0.006041	0.002872
-0.000251	0.006042	0.002854
-0.000241	0.006043	0.002832
-0.000235	0.006043	0.002816
-0.000228	0.006043	0.002799
-0.000220	0.006044	0.002780
-0.000213	0.006044	0.002763
-0.000206	0.006044	0.002747
-0.000198	0.006045	0.002728
-0.000190	0.006045	0.002709
-0.000184	0.006045	0.002694
-0.000177	0.006046	0.002676
-0.000170	0.006047	0.002659
-0.000163	0.006047	0.002642
-0.000156	0.006047	0.002628
-0.000150	0.006048	0.002612
-0.000144	0.006048	0.002597
-0.000138	0.006049	0.002582
-0.000133	0.006049	0.002570
-0.000126	0.006049	0.002555
-0.000120	0.006050	0.002541
-0.000114	0.006050	0.002526
-0.000109	0.006051	0.002513
-0.000105	0.006051	0.002502
-0.000099	0.006051	0.002488
-0.000093	0.006051	0.002475
-0.000088	0.006052	0.002462
-0.000083	0.006052	0.002450
-0.000078	0.006052	0.002439
-0.000073	0.006052	0.002427
-0.000068	0.006053	0.002414
-0.000063	0.006053	0.002403
-0.000058	0.006054	0.002392
-0.000054	0.006054	0.002381
-0.000046	0.006055	0.002362
-0.000038	0.006056	0.002344
-0.000032	0.006056	0.002327
-0.000025	0.006057	0.002311
-0.000018	0.006058	0.002294
-0.000012	0.006059	0.002280
-0.000006	0.006059	0.002265
0.000000	0.006060	0.002252
0.000004	0.006060	0.002240
0.000009	0.006061	0.002229
0.000014	0.006061	0.002217
0.000019	0.006062	0.002205
0.000025	0.006062	0.002191
0.000029	0.006063	0.002180
0.000035	0.006063	0.002166
0.000040	0.006064	0.002155
0.000045	0.006064	0.002143
0.000049	0.006065	0.002133
0.000054	0.006065	0.002121
0.000059	0.006065	0.002109
0.000064	0.006066	0.002096
0.000068	0.006066	0.002086
0.000071	0.006067	0.002075
0.000075	0.006067	0.002063
0.000078	0.006067	0.002052
0.000082	0.006068	0.002040
0.000088	0.006069	0.002027
0.000092	0.006069	0.002016
0.000097	0.006070	0.002003
0.000102	0.006070	0.001992
0.000106	0.006071	0.001979
0.000112	0.006071	0.001965
0.000115	0.006071	0.001955
0.000119	0.006072	0.001944
0.000122	0.006072	0.001933
0.000126	0.006072	0.001921
0.000130	0.006073	0.001909
0.000136	0.006073	0.001893
0.000140	0.006074	0.001879
0.000144	0.006074	0.001869
0.000147	0.006075	0.001858
0.000152	0.006075	0.001842
0.000156	0.006075	0.001831
0.000160	0.006076	0.001820
0.000164	0.006076	0.001807
0.000169	0.006077	0.001792
0.000174	0.006077	0.001780
0.000178	0.006078	0.001765
0.000182	0.006079	0.001750
0.000186	0.006079	0.001735
0.000187	0.006079	0.001722
0.000187	0.006080	0.001711
0.000186	0.006080	0.001699
0.000176	0.006079	0.001687
0.000166	0.006079	0.001678
0.000161	0.006078	0.001667
0.000161	0.006082	0.001656
0.000163	0.006087	0.001645
0.000162	0.006098	0.001639
0.000152	0.006103	0.001649
0.000141	0.006107	0.001658
0.000129	0.006113	0.001670
0.000118	0.006119	0.001679
0.000108	0.006123	0.001687
0.000097	0.006131	0.001696
0.000081	0.006139	0.001709
0.000067	0.006146	0.001720
0.000054	0.006151	0.001731
0.000042	0.006156	0.001740
0.000029	0.006162	0.001751
0.000014	0.006167	0.001763
-0.000001	0.006172	0.001776
-0.000017	0.006178	0.001789
-0.000035	0.006182	0.001804
-0.000050	0.006185	0.001816
-0.000066	0.006190	0.001830
-0.000080	0.006195	0.001841
-0.000093	0.006200	0.001851
-0.000106	0.006204	0.001863
-0.000117	0.006210	0.001872
-0.000127	0.006216	0.001879
-0.000137	0.006222	0.001888
-0.000152	0.006232	0.001898
-0.000164	0.006242	0.001906
-0.000177	0.006250	0.001914
-0.000189	0.006260	0.001917
-0.000199	0.006269	0.001921
-0.000210	0.006279	0.001920
-0.000219	0.006291	0.001917
-0.000226	0.006303	0.001907
-0.000229	0.006311	0.001896
-0.000233	0.006319	0.001882
-0.000239	0.006326	0.001870
-0.000241	0.006328	0.001856
-0.000243	0.006329	0.001842
-0.000244	0.006330	0.001830
-0.000245	0.006329	0.001816
-0.000245	0.006328	0.001800
-0.000243	0.006327	0.001787
-0.000241	0.006327	0.001774
-0.000238	0.006326	0.001760
-0.000233	0.006326	0.001743
-0.000228	0.006327	0.001727
-0.000222	0.006327	0.001710
-0.000215	0.006327	0.001693
-0.000212	0.006327	0.001683
-0.000204	0.006328	0.001665
-0.000197	0.006329	0.001648
-0.000191	0.006329	0.001630
-0.000184	0.006330	0.001613
-0.000178	0.006330	0.001596
-0.000174	0.006331	0.001586
-0.000168	0.006331	0.001570
-0.000163	0.006332	0.001560
-0.000157	0.006332	0.001544
-0.000151	0.006333	0.001528
-0.000145	0.006333	0.001512
-0.000138	0.006334	0.001495
-0.000131	0.006335	0.001479
-0.000125	0.006334	0.001463
-0.000118	0.006334	0.001448
-0.000111	0.006335	0.001432
-0.000105	0.006335	0.001417
-0.000099	0.006336	0.001403
-0.000093	0.006336	0.001389
-0.000088	0.006336	0.001376
-0.000082	0.006337	0.001362
-0.000077	0.006337	0.001349
-0.000072	0.006337	0.001338
-0.000069	0.006338	0.001327
-0.000065	0.006338	0.001315
-0.000062	0.006338	0.001301
-0.000062	0.006338	0.001290
-0.000064	0.006337	0.001279
-0.000073	0.006336	0.001269
-0.000083	0.006336	0.001264
-0.000095	0.006335	0.001258
