Header Size:	8
Name:	STANDARDIZED 
Date:	Fri Feb 27 16:45:56 2015
Coordinate System:	Global Coordinate System
Character Dimensions:	3	6
TCP Rotation Matrix:	0	0	-1	0	1	0	1	0	0
Column Fields:	CartesianPosition
Column Element Size:	3
Entries:	1637
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000006
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000029	0.000234	-0.000004
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000029	0.000234	-0.000004
-0.000028	0.000234	-0.000005
-0.000029	0.000234	-0.000004
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
-0.000028	0.000234	-0.000005
